timestamps,open,high,low,close,volume,amount
1999-03-31,17.68434841234946,20.269437234372553,17.15558147517629,19.47628402709961,33073333,644145627.2308464
1999-04-01,21.56197635088589,21.620727805873226,18.624377454067922,18.918136596679688,12080833,228546848.89567566
1999-04-05,19.623165908158416,19.740668844365974,17.038077031810744,17.65497398376465,8122917,143409888.3072796
1999-04-06,17.713723417861285,18.962202710841996,16.450554858784724,18.56562614440918,8847500,164259377.31266022
1999-04-07,18.830015131639307,19.094399573982784,17.331840360377743,17.508094787597656,3915417,68551491.96897125
1999-04-08,17.508087943599488,17.654969377046346,16.597433888744025,17.03807258605957,3694167,62941485.491025925
1999-04-09,16.920573302232807,17.860604218519146,15.921789052922014,17.390588760375977,3548333,61707599.98787117
1999-04-12,16.479932210523973,18.624380250089583,16.21554782187711,17.992795944213867,4570833,82242065.4640789
1999-04-13,18.50687689589048,20.181309620029772,18.154366217920764,19.153148651123047,6000833,114934846.47956467
1999-04-14,21.70886030889529,23.324539655090042,19.97567616130662,21.885116577148438,15698333,343559847.77189636
1999-04-15,22.090743622600076,22.090743622600076,17.97810620546994,18.771257400512695,8477917,159141162.2271824
1999-04-16,19.035641642571427,19.975672406315642,17.155578247407888,19.123769760131836,4417083,84471278.30339241
1999-04-19,19.211899834236416,19.270651296034917,13.630460536146016,14.071100234985352,5728750,80609815.47117233
1999-04-20,14.071100063232231,16.21554706945509,13.630460369771384,15.892411231994629,6602500,104929645.15924454
1999-04-21,16.80307147569079,17.86060737738896,15.892415197180416,17.508094787597656,3762083,65866905.76280975
1999-04-22,19.050332158267555,19.211901022803193,17.273083986752578,17.948732376098633,3642083,65370773.05853844
1999-04-23,20.225368521510525,22.502006483416665,19.270648532728902,20.680696487426758,18544167,383506289.3391552
1999-04-26,24.543642605220978,28.538777567245234,23.677050590044256,28.377208709716797,33809167,959409788.2606697
1999-04-27,28.935350291483545,32.90110831619493,28.230327182196582,30.477590560913086,29918750,911851412.5943184
1999-04-28,29.361308145199974,31.593882611331708,27.260924015467726,28.435964584350586,11221667,319098925.3893757
1999-04-29,27.04060010137673,32.63672853020671,27.02591270320147,32.38703155517578,18047500,584504951.9920349
1999-04-30,35.603700644407375,38.77630548747023,31.72607084273042,38.1594123840332,21136667,806562792.4769859
1999-05-03,35.82402576496376,37.33689148189698,32.6367329293922,32.724857330322266,21832917,714479093.9297676
1999-05-04,33.518011332363905,35.25119556242528,30.697916509147124,31.49106788635254,17318750,545385931.956768
1999-05-05,33.180174026488736,35.72119797121073,28.230322031455866,35.53025436401367,31600833,1122785634.6047173
1999-05-06,34.78118484989784,35.721215964269014,32.40172852359158,32.76892852783203,15802083,517817328.41786957
1999-05-07,33.89989349656354,33.91458089480974,30.462904098984307,30.70525550842285,14242083,437306797.48716545
1999-05-10,30.08101463317871,30.99167066879561,28.435960677504095,30.08101463317871,11229167,337784736.8454075
1999-05-11,31.6085648468271,31.667318173044205,28.905975341796875,28.905975341796875,7161667,207014969.7081604
1999-05-12,28.847221729514935,30.316021252223642,28.670967355637035,29.610998153686523,6012917,178048474.1852703
1999-05-13,30.52165663382128,31.021048736195393,28.435961964070884,28.553464889526367,4679167,133606430.64673042
1999-05-14,28.200950539694624,31.608565038603313,27.965942836425945,31.211990356445312,19815000,618465588.9129639
1999-05-17,30.903542205127632,31.094485849011097,29.14098348101464,30.962295532226562,8535000,264263192.3675537
1999-05-18,30.844789977959525,32.84235822539718,30.00757469822838,31.99045181274414,10462917,334713442.1092415
1999-05-19,32.137331840274584,33.899890442698286,31.66731646198494,33.48862838745117,5664583,189699115.05687332
1999-05-20,34.061466481920846,34.07615388194961,30.815418470603873,31.579195022583008,4360000,137685290.2984619
1999-05-21,34.149591197058704,34.252406722313154,32.19608874652298,32.65141677856445,13843333,452004435.387455
1999-05-24,32.48984871525794,32.636730175114444,28.46533705697715,29.456777572631836,7865000,231677555.6087494
1999-05-25,28.435959004504188,30.404148676277913,24.205814907191275,24.44082260131836,13515000,330317717.4568176
1999-05-26,25.4983607045304,27.025911690819143,22.795769348680967,26.7394962310791,17277500,461991646.1324692
1999-05-27,26.49714474515873,27.49592893964877,25.630552741204898,26.04181671142578,6840417,178136885.743721
1999-05-28,25.14584958626177,26.379641481027917,24.910841873117068,26.32823371887207,4870833,128240429.6295948
1999-06-01,25.76274593922485,25.968378866214472,22.913274701146435,23.368602752685547,8849583,206802389.65391922
1999-06-02,22.61951541299681,24.83740232895025,20.945082809014295,21.833707809448242,18701250,408317628.17144394
1999-06-03,21.94386507595589,22.5313852681086,19.740665756139634,19.770042419433594,11211250,221646888.07487488
1999-06-04,19.858169522573643,21.679479596804654,19.593785169521123,21.224151611328125,10795417,229123567.11550903
1999-06-07,21.73823456733585,25.7333693568939,21.532601654601667,23.85330581665039,18454583,440202812.0177574
1999-06-08,24.646458066611988,26.085881043358935,23.882681580435367,24.49957847595215,14006667,343157437.35302925
1999-06-09,25.05772002696829,25.586486884377408,24.17644068616965,24.675832748413086,5619583,138667890.22382545
1999-06-10,23.662363980102537,24.470202691650627,23.500795117187682,24.029563903808594,7263333,174534724.47814178
1999-06-11,24.440824260817113,24.96959300926208,22.325753002387756,22.487321853637695,6709167,150871197.69880486
1999-06-14,22.09074161448473,22.09074161448473,17.978104571205762,18.066232681274414,13357917,241327236.65915108
1999-06-15,17.889979297696986,19.814106893152545,17.566843465435188,18.433435440063477,13605417,250794575.9046421
1999-06-16,19.975674573305678,21.150715023131138,19.681915394686968,20.798202514648438,13053333,271485863.22514343
1999-06-17,20.56319302234748,22.32575167719292,19.667224429889696,20.901016235351562,10976250,229414779.4532776
1999-06-18,21.47384904861423,22.36981577491765,21.385720928954857,22.090744018554688,6445000,142374845.19958496
1999-06-21,22.502010271782606,25.674617303226402,22.38450734525247,24.984281539916992,12120000,302809492.26379395
1999-06-22,25.63055059469853,28.068759414604287,24.852086782963593,25.557111740112305,19152500,489482582.6025009
1999-06-23,24.44082416761025,26.776215728985488,24.44082416761025,26.05650520324707,10887500,283690200.4003525
1999-06-24,25.439607568232212,25.73336859664881,23.970808029174805,23.970808029174805,7852917,188240765.87604332
1999-06-25,24.77865266610674,25.233980748766566,22.443260784370207,22.502012252807617,9510833,214012880.70040703
1999-06-28,23.265785812218695,24.82271353255339,21.620729966757484,24.793336868286133,11111250,275484964.2777443
1999-06-29,24.23519250545036,26.08587933548323,24.073623658929925,25.263351440429688,9612083,242833430.9035797
1999-06-30,24.969590289006465,27.965940600738225,24.499574920043653,27.15810203552246,10935417,296985170.6869869
1999-07-01,27.466550759106994,27.819063247751426,25.20459998154735,25.263351440429688,8237917,208117392.3080902
